"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"time"
"0"	516	1	0	0	0	0	"0"
"5"	515.7292032	0.7292032	0.2707968	0	0	0	"5"
"10"	515.599743369989	0.555147740574944	0.343538104852256	0.1013141545728	0	0	"10"
"15"	515.550045003804	0.439533911789334	0.335657145755385	0.214888812601654	0.00161024158141053	0.00830988827221563	"15"
"20"	515.544791405799	0.360180375145679	0.300107978477947	0.308750775136822	0.00502558766893555	0.0259352835706159	"20"
"25"	515.563478321087	0.303902173515053	0.259447634946937	0.375458127088786	0.00993273355111138	0.0512593308981132	"25"
"30"	515.594126522063	0.262662674843202	0.222275690088941	0.417106757060891	0.0159000960669034	0.0820547819400625	"30"
"35"	515.629751571976	0.23144726278845	0.191056459280847	0.43870057950416	0.0225294031655885	0.116266295260954	"35"
"40"	515.666337880675	0.207059949615082	0.165762292116571	0.445426890014915	0.0295019127609668	0.152248955492464	"40"
"45"	515.701651564721	0.187425154864199	0.145513233871422	0.441696969517237	0.0365813273087634	0.188783314438378	"45"
"50"	515.734531686774	0.171172361550537	0.129272684540005	0.430941752155673	0.043601460178634	0.225011741575151	"50"
"55"	515.764460504773	0.157383061322739	0.116110346246508	0.415697922938433	0.0504506544636078	0.260358015028712	"55"
"60"	515.791299941324	0.145433147180796	0.105275623876325	0.397779684390108	0.057057570186726	0.294453974366045	"60"
"65"	515.815128972617	0.134892826711001	0.0961945786828523	0.378452631257176	0.0633797014895644	0.327080261859406	"65"
"70"	515.836143262309	0.125462001000383	0.0884411958501569	0.358580820714628	0.0693946573070819	0.358121325127751	"70"
"75"	515.85459364503	0.116927964588621	0.0817043887408294	0.338741384536814	0.0750937795101508	0.387532482623585	"75"
"80"	515.870749040392	0.109137405194317	0.075758743293146	0.319309879145501	0.0804775826423559	0.415316389724679	"80"
"85"	515.884874772335	0.101977701356797	0.0704411510690102	0.300522092080072	0.0855525501720489	0.441506505322072	"85"
"90"	515.89722057792	0.0953643390737878	0.0656331368445232	0.282517983176489	0.0903289130686281	0.466155627836572	"90"
"95"	515.908014656673	0.0892323942602143	0.0612479156680119	0.26537252797694	0.0948191267601428	0.489328035334691	"95"
"100"	515.917461421982	0.0835307372746797	0.0572211028552745	0.249117166115988	0.0990368383021707	0.511094155451887	"100"
"105"	515.925741456042	0.0782180706905899	0.0535041322178553	0.233754608119974	0.102996194437693	0.531526994533887	"105"
"110"	515.933012712634	0.0732602074885476	0.0500596320849023	0.219268994190476	0.106711384989579	0.550699781246495	"110"
"115"	515.939412364305	0.068628191713703	0.0468581936376834	0.205632823517427	0.110196347712195	0.568684443418992	"115"
"120"	515.945058919327	0.0642969931263758	0.0438761186444532	0.192811651718046	0.11346458327441	0.585550653236715	"120"
"125"	515.950054382225	0.0602445940366364	0.0410938510761106	0.180767252263398	0.116529044901573	0.601365257722281	"125"
"130"	515.954486327198	0.05645134483727	0.0384948839006743	0.169459724478094	0.119402078263784	0.616191968520177	"130"
"135"	515.958429814706	0.0528995041668681	0.0360649949994709	0.158848881384303	0.122095394867763	0.630091224581595	"135"
"140"	515.961949119723	0.0495729063595583	0.0337917106283525	0.148895146823984	0.124620067506489	0.643120168681617	"140"
"145"	515.965099263481	0.0464567170010885	0.0316639260879201	0.139560119424432	0.126986539967293	0.655332697519267	"145"
"150"	515.967927354251	0.0435372497783761	0.0296716350438475	0.130806911399827	0.129204645703371	0.666779558074578	"150"
