"time"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"
"1"	0	516	1	0	0	0	0
"2"	5	515.790624294804	0.771817379926789	0.188906751086267	0.0379433788892093	0.000216290612507119	0.00111619948522806
"3"	10	515.673855426447	0.609946286177524	0.266782772787448	0.114611805698959	0.00140555617546719	0.00725357916060253
"4"	15	515.616341705586	0.493346056723525	0.286390710623945	0.196340637204204	0.0038831304120557	0.0200394650362707
"5"	20	515.596206628572	0.407971652055942	0.277321380320929	0.267939676974459	0.00759129539265781	0.0391759952560118
"6"	25	515.599098023503	0.344361640245398	0.255759652984747	0.323998044113514	0.0123169958495615	0.063563666806779
"7"	30	515.6156188524	0.296082601122775	0.230241538919069	0.363987104666112	0.0178047462473338	0.0918840090447108
"8"	35	515.639651432732	0.258721314473613	0.205007120672709	0.389582244172144	0.0238107007867369	0.122878619894797
"9"	40	515.667253411242	0.229223827102994	0.181943467988871	0.403242017039958	0.0301251946433627	0.155465493224815
"10"	45	515.695927616232	0.205459151461393	0.161692534244371	0.407499038240641	0.0365788331399328	0.188770442913662
"11"	50	515.72413545499	0.185927973088033	0.144275398345431	0.404637667447817	0.0430407657134554	0.222118195405264
"12"	55	515.750971806161	0.169566842026331	0.129433983355116	0.39657923618741	0.0494136317069557	0.255006306724188
"13"	60	515.775946860834	0.155615247533226	0.116812184787048	0.384870562628167	0.0556276003146336	0.287074404736925
"14"	65	515.798839966087	0.143524909365893	0.106046349655866	0.370719314910177	0.061634667663632	0.318074758404432
"15"	70	515.819601214548	0.132897095440555	0.0968065050758314	0.355046158930127	0.0674036745381444	0.347846566015342
"16"	75	515.838285384929	0.12343898521509	0.0888110679007277	0.338539208420927	0.0729161634537734	0.376294575009482
"17"	80	515.855008787415	0.114933717479491	0.0818280148515705	0.321702920968845	0.0781631137511766	0.403372232948917
"18"	85	515.869919730247	0.10721863197601	0.0756707498290583	0.304899992037773	0.0831423439862625	0.429068282170896
"19"	90	515.883180002151	0.100170274729693	0.070190919753081	0.288385741752262	0.0878565303277362	0.453396533437228
"20"	95	515.894953073361	0.0936937788406026	0.0652716924458535	0.272334477007939	0.0923117422976015	0.476388309408004
"21"	100	515.905396695726	0.0877150844939901	0.0608212831370319	0.256860700911428	0.0965163136762324	0.498086617781317
"22"	105	515.914658797255	0.0821755101182796	0.0567675990893902	0.24203488622202	0.100480032648247	0.518541971922063
"23"	110	515.922875336896	0.0770278306634738	0.0530538914468004	0.227895391463014	0.104213549942958	0.537809336483753
"24"	115	515.930169258094	0.0722331225732381	0.0496349740579514	0.214458319908197	0.107727904406551	0.555945679054062
"25"	120	515.93665099907	0.0677591229671393	0.0464747848507384	0.201723113946886	0.111034277099069	0.573008701136167
"26"	125	515.942418804268	0.0635785309638957	0.0435441749628493	0.189677942690759	0.114143751374696	0.5890556000078
"27"	130	515.947559275643	0.0596677018269976	0.0408193055394154	0.178303648119208	0.117067144540893	0.604142199973486
"28"	135	515.952148741317	0.0560060639716935	0.0382803564324745	0.1675760772877	0.119814933529383	0.618322568778749
"29"	140	515.956254163052	0.0525754372731429	0.0359105926854563	0.157468133481535	0.122397184133064	0.631648652426802
"30"	145	515.959934022373	0.0493595452918682	0.0336958344463575	0.147950997885666	0.124823517923698	0.644170104452411
"31"	150	515.963239413978	0.0463437131559169	0.0316237663142557	0.1389952462899	0.127103092134887	0.65593418210504
